location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3409452,1.52,3.01,4.34,0.87,20.46,134.22,1
3409453,8.19,15.07,8.9,5.49,15.58,244.59,1
3409454,13.42,22.34,14.82,8,8.52,337.68,2
3409455,1.44,3.52,0.83,0.29,35.68,89.09,1
3409456,6.99,8.47,3.03,1.01,36.13,153.79,1
3409457,2.03,3.83,5.23,1.02,18.01,129.99,1
3409458,9.65,11.13,3.62,1.2,33.36,164.56,1
3409459,9.65,11.13,3.62,1.2,33.36,164.56,1
3409460,8.82,10.83,7.81,2.91,24.53,180.91,1
3409461,8.82,10.83,7.81,2.91,24.53,180.91,1
3409462,12.68,14.78,7.18,3.06,25.53,191.69,2
3409463,7.39,8.79,4.01,1.26,31.64,151.17,1
3409464,13.05,15.11,4.27,1.6,29.38,204.21,2
3409465,13.05,15.11,4.27,1.6,29.38,204.21,2
3409466,4.45,6.14,3.01,0.64,26.46,144.6,1
3409467,4.65,6.81,4.4,0.88,20.58,165.18,1
3409468,13.05,15.11,4.27,1.6,29.38,204.21,2
3409469,1.25,4.19,0.14,0.26,39.92,82.4,1
3409470,0.9,2.24,0.07,0.08,37.44,80.5,1
3409471,1.07,3.22,0.07,0.1,38.65,81.3,1
3409472,1.25,4.19,0.14,0.26,39.92,82.4,1
3409473,26.55,29.95,13.11,7.67,32.78,255.43,3
3409474,15.46,17.96,12.33,6.67,25.99,218.16,2
3409475,1.07,3.22,0.07,0.1,38.65,81.3,1
3409476,1.07,3.22,0.07,0.1,38.65,81.3,1
3409477,1.07,3.22,0.07,0.1,38.65,81.3,1
3409478,1.25,4.19,0.14,0.26,39.92,82.4,1
3409479,1.25,4.2,0.07,0.13,39.86,82.11,1
3409480,1.35,4.95,0.06,0.14,41.07,82.57,1
3409481,1.31,4.84,0.06,0.14,41.07,82.4,1
3409482,1.25,4.2,0.07,0.13,39.86,82.11,1
3409483,1.25,4.2,0.07,0.13,39.86,82.11,1
3409484,1.12,3.32,0.22,0.38,38.77,82.05,1
3409485,1.12,3.32,0.22,0.38,38.77,82.05,1
3409486,1.25,4.2,0.07,0.13,39.86,82.11,1
3409487,1.07,3.22,0.07,0.1,38.65,81.3,1
3409488,14.27,16.15,2.18,1.35,52.33,386.22,2
3409489,14.11,16.21,2.16,1.48,48.91,377.46,2
3409492,5.85,9.91,6.16,1.44,25.78,182.3,1
3409493,9.37,13.78,5.24,1.45,35.7,179.92,1
3409494,8.72,15.13,8.8,5.89,35.03,213.27,1
3409495,11.93,31.09,10.93,1.94,29.42,257.74,2
3409497,0.78,2.61,0.11,0.12,37.36,82.43,1
3409498,10.83,12.72,4.82,1.74,34.07,160.83,2
3409499,10.83,12.72,4.82,1.74,34.07,160.83,2
3409500,10.83,12.72,4.82,1.74,34.07,160.83,2
3409501,10.83,12.72,4.82,1.74,34.07,160.83,2
3409502,35.03,43.17,5.35,3.34,56.9,309.45,3
3409503,4,4.99,1.67,0.33,21.65,243.59,1
3409504,10.34,14.36,3.64,0.98,13.79,266.61,2
3409505,31.4,34.89,3.7,4.14,58.9,238.82,3
3409506,33.53,38.2,3.99,3.42,47.43,262.36,3
3409507,36.99,42.87,3.75,2.08,39.68,281.72,3
3409508,31.4,34.89,3.7,4.14,58.9,238.82,3
3409509,9,10.12,0.8,0.53,70.08,158.29,2
3409510,1.42,4.79,0.08,0.15,39.38,82.18,1
3409511,1.25,4.2,0.07,0.13,39.86,82.11,1
3409512,1.25,4.19,0.14,0.26,39.92,82.4,1
3409513,1.25,4.2,0.07,0.13,39.86,82.11,1
3409514,1.25,4.2,0.07,0.13,39.86,82.11,1
3409515,14.11,16.21,2.16,1.48,48.91,377.46,2
3409516,19.85,27.64,25.35,7.6,19.67,417.33,2
3409517,6.14,10.41,5.97,1.86,16.88,208.35,1
3409518,9.37,13.78,5.24,1.45,35.7,179.92,1
3409519,63.03,83.56,16.44,2.63,43.67,553.79,4
3409520,20.04,24.39,9.22,6.55,15.76,367.37,2
3409521,21.76,26.56,13.2,8.01,10.66,434.34,2
3409522,24.67,30.43,14.59,8.82,7.08,458.92,2
3409523,1.57,3.38,1.02,0.32,29.85,95.27,1
3409524,9.02,10.56,0.66,0.41,70.8,153.33,2
3409525,24.67,30.43,14.59,8.82,7.08,458.92,2
3409526,1.26,2.16,0.83,0.22,35.48,87.81,1
3409527,8.77,13.63,4.44,1,0.67,257.35,1
3409528,1.57,3.38,1.02,0.32,29.85,95.27,1
