id,name,city,country,coordinates
delhi-anand-vihar,Anand Vihar,Delhi,IN,"{'latitude': 28.646, 'longitude': 77.315}"
delhi-rk-puram,R.K. Puram,Delhi,IN,"{'latitude': 28.562, 'longitude': 77.183}"
delhi-mandir-marg,Mandir Marg,Delhi,IN,"{'latitude': 28.637, 'longitude': 77.207}"
delhi-ashok-vihar,Ashok Vihar,Delhi,IN,"{'latitude': 28.692, 'longitude': 77.17}"
bangalore-btm,BTM Layout,Bangalore,IN,"{'latitude': 12.916, 'longitude': 77.61}"
bangalore-peenya,Peenya,Bangalore,IN,"{'latitude': 13.03, 'longitude': 77.53}"
bangalore-yeshwanthpur,Yeshwanthpur,Bangalore,IN,"{'latitude': 13.02, 'longitude': 77.55}"
bangalore-whitefield,Whitefield,Bangalore,IN,"{'latitude': 12.969, 'longitude': 77.749}"
mumbai-bandra,Bandra,Mumbai,IN,"{'latitude': 19.054, 'longitude': 72.84}"
mumbai-kurla,Kurla,Mumbai,IN,"{'latitude': 19.074, 'longitude': 72.88}"
mumbai-borivali,Borivali,Mumbai,IN,"{'latitude': 19.231, 'longitude': 72.856}"
mumbai-dadar,Dadar,Mumbai,IN,"{'latitude': 19.017, 'longitude': 72.843}"
5599,"Bollaram Industrial Area, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.540891, 'longitude': 78.358528}"
5601,"Lajpat Nagar, Moradabad - UPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.825341, 'longitude': 78.7213009}"
5602,"Asansol Court Area, Asansol - WBPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.685297, 'longitude': 86.945968}"
5603,"Sector-2 Industrial Area, Pithampur - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 22.624758, 'longitude': 75.675238}"
5604,"Nishant Ganj, Lucknow - UPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.871428, 'longitude': 80.957145}"
5607,"Peenya, Bengaluru - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 13.0270199, 'longitude': 77.494094}"
5608,"GM Office, Brajrajnagar - OSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 21.8004996, 'longitude': 83.8396977}"
5609,"Anam Kala Kendram, Rajamahendravaram - APPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 16.9872867, 'longitude': 81.7363176}"
5610,"North Campus, DU, Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6573814, 'longitude': 77.1585447}"
5611,"Chandrapur, Chandrapur - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 19.645324, 'longitude': 77.6345232}"
5612,"Shastri Nagar, Jaipur - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.9502929, 'longitude': 75.730943}"
5613,"ITO, New Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.628624, 'longitude': 77.24106}"
5614,"Padmapukur, Howrah - WBPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 22.5687319, 'longitude': 88.2797276}"
5615,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.5404352, 'longitude': 87.2892225}"
5616,"Sector - 62, Noida, UP - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6245479, 'longitude': 77.3577104}"
5617,"Sector- 16A, Faridabad - HSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.4088421, 'longitude': 77.3099081}"
5619,"Vindhyachal STPS, Singrauli - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 24.10897, 'longitude': 82.64558}"
5621,"Opp GPO Civil Lines, Nagpur - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 21.152875, 'longitude': 79.0517531}"
5622,"NSIT Dwarka, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.60909, 'longitude': 77.0325413}"
5623,"Central University, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.460103, 'longitude': 78.334361}"
5624,"IDA Pashamylaram, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.5316895, 'longitude': 78.218939}"
5625,"RIMT University, Mandi Gobindgarh - PPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 30.649961, 'longitude': 76.331442}"
5626,"DTU, New Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.7500499, 'longitude': 77.1112615}"
5627,"CRRI Mathura Road, New Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.5512005, 'longitude': 77.2735737}"
5628,"GVM Corporation, Visakhapatnam - APPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.722682, 'longitude': 83.308197}"
5630,"Shadipur, Delhi - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6514781, 'longitude': 77.1473105}"
5631,"Maninagar, Ahmedabad - GPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.002657, 'longitude': 72.591912}"
5632,"Sector-D Industrial Area, Mandideep - MPPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 23.10844, 'longitude': 77.511428}"
5633,"Police Commissionerate, Jaipur - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.9164092, 'longitude': 75.7994901}"
5634,"Lodhi Road, New Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.5918245, 'longitude': 77.2273074}"
5635,"Adarsh Nagar, Jaipur - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.902909, 'longitude': 75.836858}"
5636,"Shrinath Puram, Kota - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 25.14389, 'longitude': 75.821256}"
5638,"Indira Colony Vistar, Pali - RSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 25.771061, 'longitude': 73.340227}"
5639,"R K Puram, New Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.5646102, 'longitude': 77.1670103}"
5641,"Mandir Marg, New Delhi - DPCC",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.6372688, 'longitude': 77.2005604}"
5642,"More Chowk Waluj, Aurangabad - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 19.8389439, 'longitude': 75.244448}"
5644,"Sanegurava Halli, Bengaluru - KSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 12.990328, 'longitude': 77.5431385}"
5645,"ICRISAT Patancheru, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.5184, 'longitude': 78.278777}"
5646,"Plammoodu, Thiruvananthapuram - Kerala PCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 8.5149093, 'longitude': 76.9435879}"
5647,"Sanathnagar, Hyderabad - TSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 17.4559458, 'longitude': 78.4332152}"
5648,"Ward-32 Bapupara, Siliguri - WBPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.6883049, 'longitude': 88.412668}"
5649,"Tirumala, Tirupati - APPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 13.67, 'longitude': 79.35}"
5650,"IGI Airport (T3), Delhi - IMD",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 28.5627763, 'longitude': 77.1180053}"
5652,"IGSC Planetarium Complex, Patna - BSPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 25.5941, 'longitude': 85.1376}"
5655,"Velachery Res. Area, Chennai - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 13.0052189, 'longitude': 80.2398125}"
5657,"Central School, Lucknow - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.8821003, 'longitude': 80.9302753}"
5659,"Lalbagh, Lucknow - CPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 26.8458805, 'longitude': 80.9365541}"
5661,"Karve Road Pune, Pune - MPCB",,"{'id': 9, 'code': 'IN', 'name': 'India'}","{'latitude': 18.5011743, 'longitude': 73.8165527}"
